Date,MU,BAC,AMZN,AAPL,PFE,SNAP,VALE,ABEV,F,TSLA,MARA,PCG,INTC,NVDA,SMCI,RIOT,META,KGC,HL,CRM,CELH,ENPH,AXSM,LSCC,ELF,MSFT
2019-12-13 00:00:00-05:00,50.18451690673828,30.4132137298584,88.0469970703125,66.68827819824219,29.357746124267578,15.09000015258789,8.334549903869629,3.751213788986206,7.396415710449219,23.892667770385742,1.0499999523162842,11.214746475219727,50.9760856628418,5.576371669769287,2.2060000896453857,1.340000033378601,193.52731323242188,3.954232931137085,2.967165470123291,160.4178466796875,1.5033329725265503,24.6200008392334,46.790000915527344,19.170000076293945,14.84000015258789,147.8057098388672
2019-12-16 00:00:00-05:00,51.8900032043457,30.64280891418457,88.46050262451172,67.82982635498047,29.978139877319336,15.109999656677246,8.39836597442627,3.82492733001709,7.524630069732666,25.433332443237305,0.9900000095367432,9.648274421691895,50.896705627441406,5.605250358581543,2.252000093460083,1.3300000429153442,197.3258819580078,3.899567127227783,3.0060789585113525,161.24417114257812,1.4800000190734863,25.760000228881836,79.80000305175781,19.860000610351562,15.5,148.76219177246094
2019-12-17 00:00:00-05:00,51.948814392089844,30.943077087402344,89.53299713134766,67.96316528320312,29.79432487487793,15.100000381469727,8.353694915771484,3.783975601196289,7.524630069732666,25.266000747680664,0.9900000095367432,10.885488510131836,50.54385757446289,5.68342399597168,2.25,1.2999999523162842,197.79444885253906,3.8357884883880615,2.9379804134368896,160.91563415527344,1.4733330011367798,25.850000381469727,80.97000122070312,20.200000762939453,15.75,147.95877075195312
2019-12-18 00:00:00-05:00,51.98802185058594,31.0048885345459,89.20149993896484,67.8007583618164,29.78666114807129,15.109999656677246,8.347312927246094,3.833118200302124,7.644833564758301,26.209999084472656,1.0199999809265137,11.284589767456055,50.42919921875,5.7137956619262695,2.246999979019165,1.3300000429153442,201.8921356201172,3.908676862716675,3.0547215938568115,160.7662811279297,1.4333330392837524,25.739999771118164,89.56999969482422,19.770000457763672,15.4399995803833,147.65267944335938
2019-12-19 00:00:00-05:00,53.44846725463867,30.863584518432617,89.61399841308594,67.86862182617188,29.847930908203125,15.460000038146973,8.436656951904297,3.84130859375,7.540658950805664,26.93600082397461,0.9700000286102295,10.895465850830078,51.12604904174805,5.8619256019592285,2.265000104904175,1.3200000524520874,205.44143676757812,3.9268994331359863,2.957437038421631,162.60812377929688,1.4533330202102661,25.959999084472656,95.30000305175781,19.729999542236328,15.270000457763672,148.9343719482422
2019-12-20 00:00:00-05:00,53.96795654296875,30.872421264648438,89.32499694824219,67.72804260253906,30.047075271606445,15.550000190734863,8.468564987182617,3.8387885093688965,7.596752643585205,27.03933334350586,0.9599999785423279,10.96530818939209,51.99930953979492,5.959267616271973,2.4649999141693115,1.3300000429153442,205.6807098388672,3.8813440799713135,2.9185233116149902,163.82273864746094,1.4333330392837524,25.940000534057617,100.66999816894531,20.010000228881836,15.770000457763672,150.5603790283203
2019-12-23 00:00:00-05:00,54.30121994018555,31.05786895751953,89.6500015258789,68.833251953125,30.116010665893555,15.489999771118164,8.487710952758789,3.8471882343292236,7.564697742462158,27.947999954223633,0.949999988079071,10.915420532226562,52.246307373046875,5.945574760437012,2.4200000762939453,1.3300000429153442,205.56106567382812,4.054455280303955,3.171462059020996,163.01632690429688,1.5266669988632202,26.809999465942383,98.73999786376953,19.530000686645508,15.6899995803833,150.5603790283203
2019-12-24 00:00:00-05:00,54.320823669433594,31.102020263671875,89.46050262451172,68.89869689941406,30.09303092956543,15.609999656677246,8.596199989318848,3.8303887844085693,7.588738441467285,28.350000381469727,0.9300000071525574,10.925397872924805,52.40507507324219,5.940596103668213,2.390000104904175,1.309999942779541,204.50425720214844,4.20934534072876,3.288203239440918,162.52847290039062,1.5333329439163208,27.020000457763672,102.9800033569336,19.43000030517578,15.8100004196167,150.53170776367188
2019-12-26 00:00:00-05:00,54.016971588134766,31.366947174072266,93.4384994506836,70.26567840576172,30.16196632385254,15.970000267028809,8.608963012695312,3.956387996673584,7.572710990905762,28.729333877563477,0.9200000166893005,10.835599899291992,52.76673889160156,5.95478630065918,2.380000114440918,1.2999999523162842,207.16624450683594,4.254900932312012,3.3076603412628174,163.7829132080078,1.5466669797897339,27.34000015258789,106.23999786376953,19.979999542236328,15.739999771118164,151.76553344726562
2019-12-27 00:00:00-05:00,52.9583854675293,31.216812133789062,93.48999786376953,70.23898315429688,30.116010665893555,16.030000686645508,8.659400939941406,3.956387996673584,7.500589370727539,28.691999435424805,0.8999999761581421,10.416543960571289,52.9960823059082,5.897027969360352,2.4100000858306885,1.2200000286102295,207.47532653808594,4.20934534072876,3.220104217529297,164.25083923339844,1.5766669511795044,26.760000228881836,101.9800033569336,19.229999542236328,15.960000038146973,152.04287719726562
2019-12-30 00:00:00-05:00,52.15464782714844,31.040205001831055,92.34449768066406,70.65589141845703,29.801982879638672,15.890000343322754,8.639749526977539,3.9059884548187256,7.412442207336426,27.64666748046875,0.8999999761581421,10.775735855102539,52.5903205871582,5.783751964569092,2.4000000953674316,1.1399999856948853,203.79638671875,4.33690071105957,3.288203239440918,161.72206115722656,1.6166670322418213,25.3700008392334,103.83000183105469,19.079999923706055,15.720000267028809,150.73251342773438
