Date,ITUB,MSTR,BBD,MU,BAC,AMZN,AAPL,PFE,SNAP,VALE,ABEV,F,T,CLSK,TSLA,MARA,PCG,NIO,INTC,NVDA,SMCI,RIOT,MRVL,META,SHO,KGC,HL,MRK,CRM
2020-09-29 00:00:00-04:00,2.659412384033203,14.968999862670898,2.612119197845459,49.7042350769043,21.42021369934082,157.24400329589844,111.37133026123047,28.541513442993164,25.989999771118164,7.1107563972473145,1.8395946025848389,5.378824710845947,15.574240684509277,12.979999542236328,139.69000244140625,2.0199999809265137,9.368904113769531,20.850000381469727,45.94288635253906,13.188371658325195,2.680000066757202,2.759999990463257,38.66192626953125,261.004150390625,7.467301845550537,8.145355224609375,4.944142818450928,69.19210052490234,246.35633850097656
2020-09-30 00:00:00-04:00,2.720940113067627,15.055999755859375,2.6586251258850098,46.02861022949219,21.708576202392578,157.43649291992188,113.05035400390625,28.95973014831543,26.110000610351562,7.226876735687256,1.8983944654464722,5.427723407745361,15.689805030822754,12.489999771118164,143.00332641601562,1.9600000381469727,9.368904113769531,21.219999313354492,46.472408294677734,13.492262840270996,2.640000104904175,2.700000047683716,38.95630645751953,261.11383056640625,7.448538780212402,8.036023139953613,4.953893661499023,70.07917785644531,250.20924377441406
2020-10-01 00:00:00-04:00,2.702467679977417,14.895999908447266,2.6663753986358643,46.969566345214844,21.717588424682617,161.06300354003906,114.00700378417969,28.699331283569336,26.780000686645508,7.1107563972473145,1.8983944654464722,5.501070499420166,15.678803443908691,12.430000305175781,149.3866729736328,1.9500000476837158,9.807914733886719,21.760000228881836,46.8852653503418,13.57602310180664,2.615999937057495,2.6500000953674316,39.55487823486328,265.8296203613281,7.579873561859131,8.245579719543457,5.080666542053223,68.97241973876953,252.32981872558594
2020-10-02 00:00:00-04:00,2.7229926586151123,14.645999908447266,2.6694796085357666,45.626747131347656,21.81671905517578,156.25,110.32681274414062,28.70722007751465,26.639999389648438,7.097094535827637,1.8815944194793701,5.615166664123535,15.783364295959473,12.630000114440918,138.3633270263672,1.9600000381469727,9.87775707244873,21.18000030517578,45.781333923339844,13.025333404541016,2.5829999446868896,2.5999999046325684,39.024993896484375,259.1596984863281,7.739351272583008,8.099802017211914,4.953893661499023,68.26276397705078,246.75457763671875
2020-10-05 00:00:00-04:00,2.7982521057128906,14.821000099182129,2.7703616619110107,46.655914306640625,22.186185836791992,159.9600067138672,113.72390747070312,28.999189376831055,27.540000915527344,7.34299898147583,1.9487940073013306,5.721113204956055,15.777863502502441,12.199999809265137,141.89332580566406,1.9600000381469727,9.917667388916016,21.59000015258789,46.39163589477539,13.60394287109375,2.6760001182556152,2.6600000858306885,40.742210388183594,263.8555603027344,7.673684597015381,8.327576637268066,5.158680438995361,68.6344985961914,250.4182891845703
2020-10-06 00:00:00-04:00,2.784567356109619,15.003999710083008,2.7470812797546387,46.38147735595703,21.960901260375977,154.9980010986328,110.46349334716797,28.541513442993164,26.729999542236328,7.172231197357178,2.0327939987182617,5.68851375579834,15.799874305725098,12.479999542236328,137.9933319091797,1.8700000047683716,10.127195358276367,20.670000076293945,46.104434967041016,13.697678565979004,2.6510000228881836,2.569999933242798,41.291725158691406,257.883544921875,7.645541191101074,7.881133079528809,4.895383358001709,67.2743148803711,249.03445434570312
2020-10-07 00:00:00-04:00,2.72983455657959,15.309000015258789,2.6694796085357666,47.44984436035156,22.42048454284668,159.7845001220703,112.33773040771484,28.778240203857422,26.670000076293945,7.34299898147583,2.041193962097168,5.892258167266846,15.849404335021973,10.75,141.76666259765625,1.940000057220459,10.236949920654297,21.559999465942383,47.271183013916016,13.92453670501709,2.703000068664551,2.6600000858306885,41.82160568237305,257.3451232910156,7.720588684082031,7.707418918609619,5.031907558441162,67.62068176269531,258.8309631347656
2020-10-08 00:00:00-04:00,2.9214015007019043,16.393999099731445,2.8557229042053223,48.91029739379883,22.744895935058594,159.52749633789062,112.23036193847656,29.109664916992188,27.049999237060547,7.5479207038879395,2.066394090652466,5.990054607391357,16.130447387695312,10.15999984741211,141.97332763671875,2.140000104904175,10.546252250671387,21.440000534057617,47.899436950683594,13.799639701843262,2.760999917984009,2.930000066757202,42.00830841064453,262.9682312011719,7.758113861083984,7.881133079528809,5.070914268493652,67.992431640625,259.0699157714844
2020-10-09 00:00:00-04:00,2.948768138885498,16.472999572753906,2.910043716430664,48.90049362182617,22.85303497314453,164.33250427246094,114.18270874023438,29.030752182006836,27.0,7.643550395965576,2.074793815612793,5.908557891845703,15.966944694519043,10.779999732971191,144.6666717529297,2.1600000858306885,10.735825538635254,21.469999313354492,47.40581130981445,13.723854064941406,2.7709999084472656,3.0950000286102295,43.924476623535156,263.65618896484375,7.683063983917236,8.319991111755371,5.392723560333252,67.89103698730469,264.804443359375
2020-10-12 00:00:00-04:00,2.969294309616089,16.645999908447266,2.9178037643432617,49.67483139038086,23.141399383544922,172.14649963378906,121.4356460571289,29.054424285888672,26.959999084472656,7.664042949676514,2.1167938709259033,6.250845909118652,15.859821319580078,10.140000343322754,147.43333435058594,2.4200000762939453,10.426523208618164,21.850000381469727,48.35715866088867,14.185794830322266,2.7920000553131104,3.5,42.8337287902832,274.9222412109375,7.551730632781982,8.365704536437988,5.402474403381348,67.89103698730469,265.8896484375
