Date,AMZN,TSLA,AAPL,NVDA,MSFT
2019-12-13 00:00:00-05:00,88.0469970703125,23.892667770385742,66.68826293945312,5.5763726234436035,147.8057098388672
2019-12-16 00:00:00-05:00,88.46050262451172,25.433332443237305,67.82984924316406,5.605251789093018,148.76219177246094
2019-12-17 00:00:00-05:00,89.53299713134766,25.266000747680664,67.963134765625,5.68342399597168,147.958740234375
2019-12-18 00:00:00-05:00,89.20149993896484,26.209999084472656,67.80074310302734,5.713795185089111,147.6526641845703
2019-12-19 00:00:00-05:00,89.61399841308594,26.93600082397461,67.86861419677734,5.86192512512207,148.93435668945312
2019-12-20 00:00:00-05:00,89.32499694824219,27.03933334350586,67.72803497314453,5.959266662597656,150.56036376953125
2019-12-23 00:00:00-05:00,89.6500015258789,27.947999954223633,68.83326721191406,5.945573806762695,150.56036376953125
2019-12-24 00:00:00-05:00,89.46050262451172,28.350000381469727,68.89868927001953,5.940596103668213,150.5316925048828
2019-12-26 00:00:00-05:00,93.4384994506836,28.729333877563477,70.2656478881836,5.9547858238220215,151.7655487060547
2019-12-27 00:00:00-05:00,93.48999786376953,28.691999435424805,70.23900604248047,5.89702844619751,152.0429229736328
2019-12-30 00:00:00-05:00,92.34449768066406,27.64666748046875,70.65589141845703,5.783752918243408,150.7325439453125
2019-12-31 00:00:00-05:00,92.39199829101562,27.8886661529541,71.17213439941406,5.8579421043396,150.83773803710938
2020-01-02 00:00:00-05:00,94.90049743652344,28.68400001525879,72.79602813720703,5.972710609436035,153.6306915283203
2020-01-03 00:00:00-05:00,93.74849700927734,29.534000396728516,72.08829498291016,5.877111911773682,151.7177276611328
2020-01-06 00:00:00-05:00,95.14399719238281,30.1026668548584,72.66271209716797,5.901757717132568,152.10989379882812
2020-01-07 00:00:00-05:00,95.34300231933594,31.270666122436523,72.32096862792969,5.973208427429199,150.72300720214844
2020-01-08 00:00:00-05:00,94.59850311279297,32.80933380126953,73.48435974121094,5.984412670135498,153.12371826171875
2020-01-09 00:00:00-05:00,95.05249786376953,32.089332580566406,75.04520416259766,6.050136566162109,155.0367431640625
2020-01-10 00:00:00-05:00,94.15799713134766,31.876667022705078,75.21485900878906,6.08250093460083,154.3193359375
2020-01-13 00:00:00-05:00,94.56500244140625,34.990665435791016,76.82179260253906,6.2732014656066895,156.17494201660156
2020-01-14 00:00:00-05:00,93.47200012207031,35.861331939697266,75.7844467163086,6.156191349029541,155.0750274658203
2020-01-15 00:00:00-05:00,93.10099792480469,34.56666564941406,75.45967864990234,6.113620758056641,156.0792999267578
2020-01-16 00:00:00-05:00,93.89700317382812,34.232666015625,76.4049072265625,6.197269439697266,158.93919372558594
2020-01-17 00:00:00-05:00,93.23600006103516,34.03333282470703,77.25079345703125,6.205982685089111,159.82870483398438
2020-01-21 00:00:00-05:00,94.5999984741211,36.47999954223633,76.72726440429688,6.1726226806640625,159.25485229492188
2020-01-22 00:00:00-05:00,94.37300109863281,37.97066879272461,77.00115203857422,6.226644515991211,158.48963928222656
2020-01-23 00:00:00-05:00,94.22899627685547,38.14666748046875,77.37197875976562,6.295108795166016,159.46527099609375
2020-01-24 00:00:00-05:00,93.08200073242188,37.654666900634766,77.14900970458984,6.235857963562012,157.8583526611328
2020-01-27 00:00:00-05:00,91.41699981689453,37.201332092285156,74.88040161132812,5.979930877685547,155.2184600830078
2020-01-28 00:00:00-05:00,92.6624984741211,37.793331146240234,76.99871063232422,6.173369884490967,158.26011657714844
2020-01-29 00:00:00-05:00,92.9000015258789,38.732666015625,78.6104736328125,6.112873077392578,160.72779846191406
2020-01-30 00:00:00-05:00,93.53399658203125,42.72066879272461,78.49658203125,6.119595050811768,165.26153564453125
2020-01-31 00:00:00-05:00,100.43599700927734,43.371334075927734,75.0161361694336,5.886074066162109,162.82249450683594
2020-02-03 00:00:00-05:00,100.20999908447266,52.0,74.81013488769531,5.983166694641113,166.79193115234375
2020-02-04 00:00:00-05:00,102.4834976196289,59.137332916259766,77.27986907958984,6.152457237243652,172.2821044921875
2020-02-05 00:00:00-05:00,101.99349975585938,48.97999954223633,77.91004180908203,6.242827415466309,172.0717010498047
2020-02-06 00:00:00-05:00,102.5114974975586,49.930667877197266,78.82134246826172,6.329713344573975,175.63941955566406
2020-02-07 00:00:00-05:00,103.96399688720703,49.871334075927734,77.74995422363281,6.263492107391357,175.8881378173828
2020-02-10 00:00:00-05:00,106.69550323486328,51.41866683959961,78.11922454833984,6.546804428100586,180.48878479003906
2020-02-11 00:00:00-05:00,107.54000091552734,51.62533187866211,77.64791870117188,6.669290542602539,176.41416931152344
2020-02-12 00:00:00-05:00,108.0,51.15266799926758,79.49188995361328,6.785055637359619,176.67245483398438
2020-02-13 00:00:00-05:00,107.49349975585938,53.599998474121094,78.92579650878906,6.741238594055176,175.7159423828125
2020-02-14 00:00:00-05:00,106.74349975585938,53.33533477783203,78.94525909423828,7.214505195617676,177.2845458984375
2020-02-18 00:00:00-05:00,107.78350067138672,57.22666549682617,77.49971008300781,7.383297443389893,179.082763671875
2020-02-19 00:00:00-05:00,108.51100158691406,61.16133117675781,78.62212371826172,7.834653854370117,179.61985778808594
2020-02-20 00:00:00-05:00,107.65499877929688,59.96066665649414,77.8155517578125,7.685281753540039,176.87684631347656
2020-02-21 00:00:00-05:00,104.79850006103516,60.06666564941406,76.05418395996094,7.321059226989746,171.28526306152344
2020-02-24 00:00:00-05:00,100.4645004272461,55.58599853515625,72.44158935546875,6.803478717803955,163.90025329589844
