ITUB,
MSTR,
BBD,
MU,
BAC,
AMZN,
AAPL,
PFE,
SNAP,
VALE,
ABEV,
GRAB,
F,
T,
CLSK,
TSLA,
MARA,
PCG,
NIO,
INTC,
NVDA,
SMCI,
RIOT,
MRVL,
META,
SHO,
KGC,
HL,
MRK,
CRM,
